full_name,race,gender,age,job_title,state,city,zip_code,Salary,,,,,,
Gabby Ygoe,Black,Male,27,Marketing Manager,New York,Jamaica,11499,"$228,275.04 ",,,,,,
Perice Elloit,White,Male,51,Mechanical Engineer,New York,New York City,10280,"$90,640.20 ",,,,,,
Julian Abbott,White,Male,37,Legal Assistant,New York,New York City,10090,"$42,594.04 ",,,,,,
Rudolph Extill,Hispanic,Male,69,Data Analyst,New York,Albany,12210,"$269,254.12 ",,,,,,
Sondra Malter,Black,Female,31,Clinical Specialist,New York,New York City,10099,"$63,345.94 ",,,,,,
Noll Bachelor,Black,Male,44,Quality Control Specialist,New York,Flushing,11355,"$44,184.06 ",,,,,,
Adelheid Instone,White,Female,30,Director of Sales,New York,Syracuse,13210,"$117,586.55 ",,,,,,
Kyla Champley,White,Female,38,Registered Nurse,New York,New York City,10099,"$193,684.57 ",,,,,,
Cherrita Sailes,White,Female,60,Paralegal,New York,Brooklyn,11231,"$208,471.39 ",,,,,,
Agathe Sauvage,White,Female,40,GIS Technical Architect,New York,New York City,10079,"$129,784.30 ",,,,,,
Dorice Bramsen,Black,Female,67,Junior Executive,New York,Brooklyn,11215,"$105,721.94 ",,,,,,
Sonnie Crowche,American Indian & Alaska Native,Male,49,Legal Assistant,New York,Flushing,11355,"$142,512.76 ",,,,,,
Marwin Barrass,White,Male,31,Actuary,New York,New York City,10014,"$73,816.36 ",,,,,,
Cari Northcott,White,Female,65,Business Systems Development Analyst,New York,Buffalo,14225,"$222,461.26 ",,,,,,
Ode Barneville,White,Male,26,Nurse,New York,Rochester,14646,"$172,667.42 ",,,,,,
Janice Belfield,Asian,Female,35,Administrative Officer,New York,Jamaica,11480,"$93,885.08 ",,,,,,
Flossi Imos,White,Female,21,Pharmacist,New York,Brooklyn,11205,"$40,186.76 ",,,,,,
Kyle Fewless,Black,Female,30,Dental Hygienist,New York,Mount Vernon,10557,"$120,804.55 ",,,,,,
Barbra Pepler,White,Female,52,Senior Editor,New York,New York City,10184,"$281,944.51 ",,,,,,
Bessie Brim,White,Female,31,Nurse,New York,New York City,10110,"$65,393.21 ",,,,,,
Gianni Albasini,White,Male,34,Executive Assistant,New York,New York City,10270,"$146,067.29 ",,,,,,
Walton Deppe,White,Male,27,Web Designer,New York,Syracuse,13210,"$177,648.96 ",,,,,,
Everett Duffree,White,Male,38,GIS Technical Architect,New York,New York City,10110,"$241,000.40 ",,,,,,
Lisle Howe,White,Male,58,Graphic Designer,New York,Bronx,10454,"$217,510.38 ",,,,,,
Charis Ingliss,Hispanic,Female,56,Food Chemist,New York,New York City,10160,"$260,787.44 ",,,,,,
Onida Stuther,White,Female,69,Senior Developer,New York,Bronx,10454,"$298,580.31 ",,,,,,
Clemmy Martusov,Black,Male,47,Human Resources,New York,Rochester,14639,"$115,169.43 ",,,,,,
Gates Ernke,White,Female,25,Geologist,New York,New York City,10060,"$260,398.93 ",,,,,,
Menard Schreurs,Other,Male,19,Nurse Practicioner,New York,Rochester,14614,"$171,710.10 ",,,,,,
Rube Wainer,Black,Male,62,Data Analyst,New York,Port Washington,11054,"$47,511.87 ",,,,,,
Wilhelmine Hoffmann,White,Female,45,Senior Sales Associate,New York,New York City,10184,"$126,549.70 ",,,,,,
Morris People,Hispanic,Male,44,Data Analyst,New York,Syracuse,13217,"$83,535.75 ",,,,,,
Arlina Doerrling,White,Female,21,Speech Pathologist,New York,New York City,10004,"$200,615.92 ",,,,,,
Maurie MacCoughen,Hispanic,Male,39,Geologist,New York,Buffalo,14205,"$92,045.79 ",,,,,,
Dorian Mc Elory,White,Male,40,Mechanical Engineer,New York,Rochester,14639,"$222,866.18 ",,,,,,
Stearn Balogun,White,Male,20,Nurse Practicioner,New York,Buffalo,14220,"$209,156.81 ",,,,,,
Laurie Pettegre,White,Female,55,Mechanical Engineer,New York,Buffalo,14233,"$126,148.92 ",,,,,,
Noby McInnes,White,Male,60,Mechanical Engineer,New York,White Plains,10633,"$189,857.15 ",,,,,,
Nara Ors,White,Female,41,Teacher,New York,Buffalo,14215,"$290,821.01 ",,,,,,
Brett Greatex,White,Male,19,Mechanical Engineer,New York,Rochester,14639,"$80,650.80 ",,,,,,
Dennet Iddins,White,Male,45,Compensation Analyst,New York,Jamaica,11436,"$269,025.34 ",,,,,,
Ricardo Fallowes,White,Male,67,Database Administrator,New York,Albany,12237,"$118,082.37 ",,,,,,
Alayne Schrinel,White,Female,30,VP Quality Control,New York,New York City,10014,"$83,899.19 ",,,,,,
Merrill Muffen,Hispanic,Female,42,Web Designer,New York,Elmira,14905,"$221,041.87 ",,,,,,
Marlowe Pritchard,White,Male,59,Mechanical Engineer,New York,Rochester,14619,"$51,647.59 ",,,,,,
Eleanore Ochterlonie,Other,Female,70,Data Analyst,New York,New York City,10292,"$291,106.18 ",,,,,,
Mohandas Game,Hispanic,Male,61,Sales Associate,New York,Syracuse,13217,"$285,097.02 ",,,,,,
Lyell Figurski,Black,Male,51,Safety Technician,New York,New York City,10292,"$137,415.70 ",,,,,,
Barr Ingolotti,Hispanic,Male,65,Mechanical Engineer,New York,Syracuse,13205,"$76,499.91 ",,,,,,
Siana Brennon,White,Female,26,Mechanical Engineer,New York,Buffalo,14233,"$35,412.98 ",,,,,,
Alick MacArdle,White,Male,34,Tax Accountant,New York,Albany,12247,"$236,776.04 ",,,,,,
Dionisio M'Barron,White,Male,23,Community Outreach Specialist,New York,Albany,12237,"$222,221.23 ",,,,,,
Sibyl Forbes,White,Female,37,Help Desk Operator,New York,Rochester,14652,"$156,087.46 ",,,,,,
Neville Burn,Hispanic,Male,27,General Manager,New York,Brooklyn,11241,"$137,249.00 ",,,,,,
Albina Rape,Hispanic,Female,64,Account Executive,New York,Utica,13505,"$243,899.48 ",,,,,,
Kass Pursglove,White,Female,39,Desktop Support Technician,New York,Buffalo,14233,"$44,032.57 ",,,,,,
Corny Sibylla,White,Male,65,Mechanical Engineer,New York,Jamaica,11480,"$227,999.56 ",,,,,,
Bryana Hacquel,Asian,Female,44,Social Worker,New York,Rochester,14604,"$231,493.97 ",,,,,,
Lonee Abbe,Hispanic,Female,35,Nurse Practicioner,New York,New York City,10009,"$244,303.62 ",,,,,,
Falkner Lockery,Black,Male,70,Marketing Assistant,New York,New York City,10203,"$192,248.54 ",,,,,,
Henryetta Grimwad,Hispanic,Female,42,Teacher,New York,Buffalo,14233,"$283,008.15 ",,,,,,
Leilah Elwood,White,Female,50,Librarian,New York,Rochester,14604,"$152,969.93 ",,,,,,
Milzie O'Coskerry,White,Female,32,VP Product Management,New York,Rochester,14609,"$58,460.35 ",,,,,,
Marchall Lavrick,Hispanic,Male,70,Research Associate,New York,Hicksville,11854,"$269,808.74 ",,,,,,
Finlay Nott,White,Male,19,Mechanical Engineer,New York,Staten Island,10305,"$201,156.64 ",,,,,,
Coletta Flatley,White,Female,35,Technical Writer,New York,Jamaica,11499,"$142,835.09 ",,,,,,
Auberon Schiesterl,Black,Male,41,Web Designer,New York,White Plains,10606,"$27,768.44 ",,,,,,
Tory Tsarovic,Hispanic,Female,50,Physical Therapy Assistant,New York,Schenectady,12325,"$48,776.44 ",,,,,,
Neel Darwent,Hispanic,Male,64,Technical Writer,New York,New York City,10160,"$299,036.72 ",,,,,,
Dolorita Littrik,White,Female,18,Speech Pathologist,New York,New York City,10203,"$179,960.93 ",,,,,,
Ibby Beesey,White,Female,60,Automation Specialist,New York,New York City,10034,"$33,817.12 ",,,,,,
Odey Rosenbloom,Hispanic,Male,42,Data Analyst,New York,Albany,12237,"$103,848.09 ",,,,,,
Emmie Capelow,Black,Female,22,Mechanical Engineer,New York,Bronx,10469,"$128,255.23 ",,,,,,
Rodge Guilloud,White,Male,58,Senior Developer,New York,Schenectady,12305,"$33,885.39 ",,,,,,
Welby Aldred,Asian,Male,39,Marketing Assistant,New York,Mount Vernon,10557,"$279,681.92 ",,,,,,
Pammi Brill,White,Female,45,Paralegal,New York,Buffalo,14233,"$120,944.02 ",,,,,,
Tobit Blethin,White,Male,20,Mechanical Engineer,New York,New York City,10090,"$281,784.14 ",,,,,,
Raymond Mussotti,Asian,Male,51,Systems Administrator,New York,Rochester,14639,"$131,970.82 ",,,,,,
Gabbie Cromie,White,Male,38,Database Administrator,New York,New York City,10155,"$282,652.91 ",,,,,,
Gabe Dutson,White,Male,62,Payment Adjustment Coordinator,New York,New York City,10292,"$211,403.83 ",,,,,,
Alessandra Abrahim,Hispanic,Female,46,Associate Professor,New York,New York City,10150,"$155,775.38 ",,,,,,
Diann Tatlow,Black,Female,65,Data Analyst,New York,Bronx,10469,"$175,108.58 ",,,,,,
Darin Beecheno,White,Male,57,Food Chemist,New York,New York City,10024,"$53,786.82 ",,,,,,
Sasha Claussen,Hispanic,Male,63,Physical Therapy Assistant,New York,New York City,10120,"$103,416.74 ",,,,,,
Clementina Cansdall,White,Female,18,Mechanical Engineer,New York,White Plains,10633,"$250,265.73 ",,,,,,
Hewie Lafranconi,White,Male,32,Data Analyst,New York,New York City,10150,"$150,458.43 ",,,,,,
Way Sebley,Hispanic,Male,70,Mechanical Engineer,New York,New York City,10115,"$43,184.95 ",,,,,,
Ethelin Hickisson,White,Female,61,Marketing Manager,New York,Brooklyn,11231,"$150,192.80 ",,,,,,
Ferne Michal,Hispanic,Female,59,Assistant Manager,New York,Brooklyn,11241,"$35,712.42 ",,,,,,
Kacy Lindbergh,Hispanic,Female,70,Project Manager,New York,New York City,10024,"$266,727.05 ",,,,,,
Mona Pennicard,Black,Female,42,Statistician,New York,New York City,10034,"$259,201.70 ",,,,,,
Vincenz Dermot,Hispanic,Male,61,Recruiter,New York,New York City,10150,"$129,232.10 ",,,,,,
Moira Heatlie,Hispanic,Female,70,Graphic Designer,New York,Jamaica,11447,"$121,665.54 ",,,,,,
Job Tivnan,White,Male,69,Senior Developer,New York,Brooklyn,11220,"$161,635.10 ",,,,,,
Filbert Wharby,Hispanic,Male,66,Mechanical Engineer,New York,Buffalo,14210,"$223,810.64 ",,,,,,
Marten Hornung,Black,Male,23,Data Analyst,New York,Bronx,10464,"$114,620.02 ",,,,,,
Wenda Wherton,Black,Female,71,Mechanical Engineer,New York,Rochester,14604,"$220,111.54 ",,,,,,
Adah Beevors,White,Female,45,Administrative Officer,New York,Rochester,14639,"$190,960.34 ",,,,,,
Cristine Whitelock,White,Female,46,Compensation Analyst,New York,Albany,12210,"$142,834.02 ",,,,,,
Natty Dibdin,White,Male,31,Financial Analyst,New York,New Hyde Park,11044,"$275,976.83 ",,,,,,
Perle Bernardon,Black,Female,33,Senior Financial Analyst,New York,Bronx,10474,"$166,685.18 ",,,,,,
Retha Bemwell,White,Female,28,Data Analyst,New York,Albany,12227,"$202,830.54 ",,,,,,
Ardelia Mathevet,White,Female,27,Geologist,New York,Jamaica,11407,"$71,355.21 ",,,,,,
Rossie Gaven,Other,Male,32,Data Analyst,New York,New York City,10165,"$231,705.56 ",,,,,,
Talyah Fugere,White,Female,55,Cost Accountant,New York,Rochester,14619,"$237,199.85 ",,,,,,
