full_name,race,gender,age,job_title,state,city,zip_code,salary
Gabby Ygoe,Black,Male,27,Marketing Manager,New York,Jamaica,11499,23465.87
Perice Elloit,White,Male,51,Mechanical Engineer,New York,New York City,10280,21305.72
Julian Abbott,White,Male,37,Legal Assistant,New York,New York City,10090,20131.43
Rudolph Extill,Hispanic,Male,69,Data Analyst,New York,Albany,12210,23263.6
Sondra Malter,Black,Female,31,Clinical Specialist,New York,New York City,10099,20178.54
Noll Bachelor,Black,Male,44,Quality Control Specialist,New York,Flushing,11355,16117.93
Adelheid Instone,White,Female,30,Director of Sales,New York,Syracuse,13210,21744.7
Kyla Champley,White,Female,38,Registered Nurse,New York,New York City,10099,21869.02
Cherrita Sailes,White,Female,60,Paralegal,New York,Brooklyn,11231,19215.72
Agathe Sauvage,White,Female,40,GIS Technical Architect,New York,New York City,10079,17472.24
Dorice Bramsen,Black,Female,67,Junior Executive,New York,Brooklyn,11215,22336.01
Sonnie Crowche,American Indian & Alaska Native,Male,49,Legal Assistant,New York,Flushing,11355,19157.96
Marwin Barrass,White,Male,31,Actuary,New York,New York City,10014,18155.9
Cari Northcott,White,Female,65,Business Systems Development Analyst,New York,Buffalo,14225,22214.76
Ode Barneville,White,Male,26,Nurse,New York,Rochester,14646,21656.19
Janice Belfield,Asian,Female,35,Administrative Officer,New York,Jamaica,11480,15979.44
Flossi Imos,White,Female,21,Pharmacist,New York,Brooklyn,11205,24563.83
Kyle Fewless,Black,Female,30,Dental Hygienist,New York,Mount Vernon,10557,16370.47
Barbra Pepler,White,Female,52,Senior Editor,New York,New York City,10184,23302.18
Bessie Brim,White,Female,31,Nurse,New York,New York City,10110,24667.12
Gianni Albasini,White,Male,34,Executive Assistant,New York,New York City,10270,20044.11
Walton Deppe,White,Male,27,Web Designer,New York,Syracuse,13210,20615.11
Everett Duffree,White,Male,38,GIS Technical Architect,New York,New York City,10110,19259.87
Lisle Howe,White,Male,58,Graphic Designer,New York,Bronx,10454,24701.69
Charis Ingliss,Hispanic,Female,56,Food Chemist,New York,New York City,10160,22282.32
Onida Stuther,White,Female,69,Senior Developer,New York,Bronx,10454,17188.9
Clemmy Martusov,Black,Male,47,Human Resources,New York,Rochester,14639,24285.96
Gates Ernke,White,Female,25,Geologist,New York,New York City,10060,16251.57
Menard Schreurs,Other,Male,19,Nurse Practicioner,New York,Rochester,14614,24496.48
Rube Wainer,Black,Male,62,Data Analyst,New York,Port Washington,11054,21110.36
Wilhelmine Hoffmann,White,Female,45,Senior Sales Associate,New York,New York City,10184,23372.42
Morris People,Hispanic,Male,44,Data Analyst,New York,Syracuse,13217,19552.37
Arlina Doerrling,White,Female,21,Speech Pathologist,New York,New York City,10004,20953.56
Maurie MacCoughen,Hispanic,Male,39,Geologist,New York,Buffalo,14205,23668.73
Dorian Mc Elory,White,Male,40,Mechanical Engineer,New York,Rochester,14639,17481.24
Stearn Balogun,White,Male,20,Nurse Practicioner,New York,Buffalo,14220,15268.78
Laurie Pettegre,White,Female,55,Mechanical Engineer,New York,Buffalo,14233,24708.88
Noby McInnes,White,Male,60,Mechanical Engineer,New York,White Plains,10633,22897.96
Nara Ors,White,Female,41,Teacher,New York,Buffalo,14215,21600.65
Brett Greatex,White,Male,19,Mechanical Engineer,New York,Rochester,14639,20963.91
Dennet Iddins,White,Male,45,Compensation Analyst,New York,Jamaica,11436,21541.42
Ricardo Fallowes,White,Male,67,Database Administrator,New York,Albany,12237,17138.58
Alayne Schrinel,White,Female,30,VP Quality Control,New York,New York City,10014,16548.79
Merrill Muffen,Hispanic,Female,42,Web Designer,New York,Elmira,14905,15939.68
Marlowe Pritchard,White,Male,59,Mechanical Engineer,New York,Rochester,14619,16656.59
Eleanore Ochterlonie,Other,Female,70,Data Analyst,New York,New York City,10292,18230.18
Mohandas Game,Hispanic,Male,61,Sales Associate,New York,Syracuse,13217,21095.28
Lyell Figurski,Black,Male,51,Safety Technician,New York,New York City,10292,21137.93
Barr Ingolotti,Hispanic,Male,65,Mechanical Engineer,New York,Syracuse,13205,23825.45
Siana Brennon,White,Female,26,Mechanical Engineer,New York,Buffalo,14233,22783.3
Alick MacArdle,White,Male,34,Tax Accountant,New York,Albany,12247,21891.05
Dionisio M'Barron,White,Male,23,Community Outreach Specialist,New York,Albany,12237,20918.67
Sibyl Forbes,White,Female,37,Help Desk Operator,New York,Rochester,14652,21598.37
Neville Burn,Hispanic,Male,27,General Manager,New York,Brooklyn,11241,22878.34
Albina Rape,Hispanic,Female,64,Account Executive,New York,Utica,13505,21793.77
Kass Pursglove,White,Female,39,Desktop Support Technician,New York,Buffalo,14233,17139.23
Corny Sibylla,White,Male,65,Mechanical Engineer,New York,Jamaica,11480,20905.84
Bryana Hacquel,Asian,Female,44,Social Worker,New York,Rochester,14604,22293.65
Lonee Abbe,Hispanic,Female,35,Nurse Practicioner,New York,New York City,10009,20953.04
Falkner Lockery,Black,Male,70,Marketing Assistant,New York,New York City,10203,23826.25
Henryetta Grimwad,Hispanic,Female,42,Teacher,New York,Buffalo,14233,21880.32
Leilah Elwood,White,Female,50,Librarian,New York,Rochester,14604,15733
Milzie O'Coskerry,White,Female,32,VP Product Management,New York,Rochester,14609,24859.13
Marchall Lavrick,Hispanic,Male,70,Research Associate,New York,Hicksville,11854,15381.95
Finlay Nott,White,Male,19,Mechanical Engineer,New York,Staten Island,10305,20489.16
Coletta Flatley,White,Female,35,Technical Writer,New York,Jamaica,11499,16164.81
Auberon Schiesterl,Black,Male,41,Web Designer,New York,White Plains,10606,16692.43
Tory Tsarovic,Hispanic,Female,50,Physical Therapy Assistant,New York,Schenectady,12325,18257.45
Neel Darwent,Hispanic,Male,64,Technical Writer,New York,New York City,10160,17323.09
Dolorita Littrik,White,Female,18,Speech Pathologist,New York,New York City,10203,19863.74
Ibby Beesey,White,Female,60,Automation Specialist,New York,New York City,10034,22629.52
Odey Rosenbloom,Hispanic,Male,42,Data Analyst,New York,Albany,12237,22139.51
Emmie Capelow,Black,Female,22,Mechanical Engineer,New York,Bronx,10469,21228.54
Rodge Guilloud,White,Male,58,Senior Developer,New York,Schenectady,12305,17236.02
Welby Aldred,Asian,Male,39,Marketing Assistant,New York,Mount Vernon,10557,24254.46
Pammi Brill,White,Female,45,Paralegal,New York,Buffalo,14233,18347.31
Tobit Blethin,White,Male,20,Mechanical Engineer,New York,New York City,10090,22201.01
Raymond Mussotti,Asian,Male,51,Systems Administrator,New York,Rochester,14639,21569.06
